# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
67.07	206.315	66.605	205.85	67.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
67.07	196.315	66.605	195.85	67.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	246.315	56.605	245.85	57.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	236.315	56.605	235.85	57.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	226.315	56.605	225.85	57.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	216.315	56.605	215.85	57.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	206.315	56.605	205.85	57.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
57.07	196.315	56.605	195.85	57.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	246.315	46.605	245.85	47.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	236.315	46.605	235.85	47.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	226.315	46.605	225.85	47.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	216.315	46.605	215.85	47.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	206.315	46.605	205.85	47.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
47.07	196.315	46.605	195.85	47.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	246.315	36.605	245.85	37.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	236.315	36.605	235.85	37.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	226.315	36.605	225.85	37.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	216.315	36.605	215.85	37.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	206.315	36.605	205.85	37.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
37.07	196.315	36.605	195.85	37.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	246.315	26.605	245.85	27.535	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	236.315	26.605	235.85	27.535	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	226.315	26.605	225.85	27.535	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	216.315	26.605	215.85	27.535	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	206.315	26.605	205.85	27.535	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
27.07	196.315	26.605	195.85	27.535	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
92.93	246.315	92.79	245.85	93.07	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
92.93	236.315	92.79	235.85	93.07	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
92.93	226.315	92.79	225.85	93.07	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
92.93	216.315	92.79	215.85	93.07	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
92.93	206.315	92.79	205.85	93.07	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
92.93	196.315	92.79	195.85	93.07	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	246.315	88.31	245.85	88.59	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	236.315	88.31	235.85	88.59	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	226.315	88.31	225.85	88.59	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	216.315	88.31	215.85	88.59	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	206.315	88.31	205.85	88.59	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
88.45	196.315	88.31	195.85	88.59	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	246.315	83.83	245.85	84.11	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	236.315	83.83	235.85	84.11	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	226.315	83.83	225.85	84.11	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	216.315	83.83	215.85	84.11	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	206.315	83.83	205.85	84.11	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
83.97	196.315	83.83	195.85	84.11	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	246.315	79.35	245.85	79.63	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	236.315	79.35	235.85	79.63	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	226.315	79.35	225.85	79.63	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	216.315	79.35	215.85	79.63	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	206.315	79.35	205.85	79.63	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
79.49	196.315	79.35	195.85	79.63	196.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
75.01	246.315	74.87	245.85	75.15	246.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
75.01	236.315	74.87	235.85	75.15	236.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
75.01	226.315	74.87	225.85	75.15	226.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
75.01	216.315	74.87	215.85	75.15	216.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
75.01	206.315	74.87	205.85	75.15	206.78	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
