u	v	kind	res_ohm
282	303	y	3.113737108e-02
283	284	x	9.205319961e-03
283	304	y	3.113737108e-02
284	285	x	9.205319961e-03
284	305	y	3.113737108e-02
285	286	x	9.205319961e-03
285	306	y	3.113737108e-02
286	287	x	9.205319961e-03
286	307	y	3.113737108e-02
287	288	x	9.205319961e-03
287	308	y	3.113737108e-02
288	289	x	9.205319961e-03
288	309	y	3.113737108e-02
289	290	x	9.205319961e-03
289	310	y	3.113737108e-02
290	291	x	9.205319961e-03
290	311	y	3.113737108e-02
291	292	x	9.205319961e-03
291	312	y	3.113737108e-02
292	293	x	9.205319961e-03
292	313	y	3.113737108e-02
293	314	y	3.113737108e-02
294	295	x	9.205319961e-03
294	315	y	3.113737108e-02
295	296	x	9.205319961e-03
295	316	y	3.113737108e-02
296	297	x	9.205319961e-03
296	317	y	3.113737108e-02
297	298	x	9.205319961e-03
297	318	y	3.113737108e-02
298	299	x	9.205319961e-03
298	319	y	3.113737108e-02
299	300	x	9.205319961e-03
299	320	y	3.113737108e-02
300	301	x	9.205319961e-03
300	321	y	3.113737108e-02
301	302	x	9.205319961e-03
301	322	y	3.113737108e-02
302	303	x	9.205319961e-03
302	323	y	3.113737108e-02
303	304	x	9.205319961e-03
303	324	y	3.113737108e-02
304	305	x	9.205319961e-03
304	325	y	3.113737108e-02
305	306	x	9.205319961e-03
305	326	y	3.113737108e-02
306	307	x	9.205319961e-03
306	327	y	3.113737108e-02
307	308	x	9.205319961e-03
307	328	y	3.113737108e-02
308	309	x	9.205319961e-03
308	329	y	3.113737108e-02
309	310	x	9.205319961e-03
309	330	y	3.113737108e-02
310	311	x	9.205319961e-03
310	331	y	3.113737108e-02
311	312	x	9.205319961e-03
