x_idx	y_idx	drop_pct	voltage_v
20	13	0.179952217	0.998200478
0	12	0.298980473	0.997010195
1	12	0.299087135	0.997009129
2	12	0.293996535	0.997060035
3	12	0.284178255	0.997158217
4	12	0.269513341	0.997304867
5	12	0.249862246	0.997501378
6	12	0.225090976	0.997749090
7	12	0.191596773	0.998084032
8	12	0.153685713	0.998463143
9	12	0.112004034	0.998879960
10	12	0.068861823	0.999311382
11	12	0.094162029	0.999058380
12	12	0.118217239	0.998817828
13	12	0.138645502	0.998613545
14	12	0.154460555	0.998455394
15	12	0.165280368	0.998347196
16	12	0.170920562	0.998290794
17	12	0.174891389	0.998251086
18	12	0.177340759	0.998226592
19	12	0.178378617	0.998216214
20	12	0.178370468	0.998216295
0	11	0.302337455	0.996976625
1	11	0.302319721	0.996976803
2	11	0.296986056	0.997030139
3	11	0.286813438	0.997131866
4	11	0.271685481	0.997283145
5	11	0.251445016	0.997485550
6	11	0.225888207	0.997741118
7	11	0.191215114	0.998087849
8	11	0.151219136	0.998487809
9	11	0.105232306	0.998947677
10	11	0.052174345	0.999478257
11	11	0.086150714	0.999138493
12	11	0.113398356	0.998866016
13	11	0.134867883	0.998651321
14	11	0.150874116	0.998491259
15	11	0.161540424	0.998384596
16	11	0.166914581	0.998330854
17	11	0.170845624	0.998291544
18	11	0.173443784	0.998265562
19	11	0.174763506	0.998252365
20	11	0.175003020	0.998249970
0	10	0.298826622	0.997011734
1	10	0.298812501	0.997011875
2	10	0.293494542	0.997065055
3	10	0.283360408	0.997166396
4	10	0.268301948	0.997316981
5	10	0.248161746	0.997518383
6	10	0.222725813	0.997772742
7	10	0.188181786	0.998118182
8	10	0.148358195	0.998516418
9	10	0.102851437	0.998971486
10	10	0.050204371	0.999497956
11	10	0.083273840	0.999167262
12	10	0.110497256	0.998895027
13	10	0.131944886	0.998680551
14	10	0.147724186	0.998522758
15	10	0.157893854	0.998421061
16	10	0.162402964	0.998375970
17	10	0.165921737	0.998340783
18	10	0.168482969	0.998315170
19	10	0.170170212	0.998298298
20	10	0.170687045	0.998293130
