ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
13	9	712	497.1	0.000753162447	0	0.000753162447	1.094631277	0.005368723299
14	9	766	497.1	0.000753162447	0	0.000753162447	1.094796966	0.005203033683
15	9	820	497.1	0.000753162447	0	0.000753162447	1.095281199	0.004718801223
16	9	874	497.1	0.0001704105215	0	0.0001704105215	1.096113153	0.003886846807
17	9	928	497.1	0.0001704105215	0	0.0001704105215	1.09705538	0.002944620327
18	9	982	497.1	0.0001704105215	0	0.0001704105215	1.098029129	0.001970870757
19	9	1036	497.1	6.615962574e-05	0	6.615962574e-05	1.098874372	0.001125628133
20	9	1090	497.1	7.440309376e-06	0	7.440309376e-06	1.099147135	0.000852864588
0	10	10	551	0.0002325314166	0	0.0002325314166	1.091196302	0.008803697943
1	10	64	551	0.0004765588107	0	0.0004765588107	1.091309873	0.008690127009
2	10	118	551	0.0004765588107	0	0.0004765588107	1.091666374	0.008333626077
3	10	172	551	0.0004765588107	0	0.0004765588107	1.092261115	0.007738884518
4	10	226	551	0.0004765588107	0	0.0004765588107	1.093085397	0.006914603112
5	10	280	551	0.0004765588107	0	0.0004765588107	1.094120674	0.00587932635
6	10	334	551	0.0004765588107	0	0.0004765588107	1.095321774	0.004678225991
7	10	388	551	0.0002693901075	0	0.0002693901075	1.096570629	0.003429370851
8	10	442	551	0.0002693901075	0	0.0002693901075	1.097434154	0.002565846106
9	10	496	551	0.0002693901075	0	0.0002693901075	1.097002138	0.002997862306
10	10	550	551	0.001148323378	0	0.001148323378	1.096165429	0.003834571304
11	10	604	551	0.0003697060668	0	0.0003697060668	1.095657295	0.004342704626
12	10	658	551	0.0003697060668	0	0.0003697060668	1.095299852	0.004700148125
13	10	712	551	0.0003697060668	0	0.0003697060668	1.095177249	0.00482275144
14	10	766	551	0.0003697060668	0	0.0003697060668	1.095320418	0.00467958177
15	10	820	551	0.0003697060668	0	0.0003697060668	1.095739797	0.004260203391
16	10	874	551	0.0001725782488	0	0.0001725782488	1.096430513	0.003569486826
17	10	928	551	0.0001725782488	0	0.0001725782488	1.097246318	0.002753681834
18	10	982	551	0.0001725782488	0	0.0001725782488	1.098118659	0.001881340813
