u	v	kind	res_ohm
208	236	y	8.437333742e-03
209	210	x	1.712489669e-03
209	237	y	8.437333742e-03
210	211	x	1.712489669e-03
210	238	y	8.437333742e-03
211	212	x	1.712489669e-03
211	239	y	8.437333742e-03
212	213	x	1.712489669e-03
212	240	y	8.437333742e-03
213	214	x	1.712489669e-03
213	241	y	8.437333742e-03
214	215	x	1.712489669e-03
214	242	y	8.437333742e-03
215	216	x	1.712489669e-03
215	243	y	8.437333742e-03
216	217	x	1.712489669e-03
216	244	y	8.437333742e-03
217	218	x	1.712489669e-03
217	245	y	8.437333742e-03
218	219	x	1.712489669e-03
218	246	y	8.437333742e-03
219	220	x	1.712489669e-03
219	247	y	8.437333742e-03
220	221	x	1.712489669e-03
220	248	y	8.437333742e-03
221	222	x	1.712489669e-03
221	249	y	8.437333742e-03
222	223	x	1.712489669e-03
222	250	y	8.437333742e-03
223	251	y	8.437333742e-03
224	225	x	1.712489669e-03
224	252	y	8.437333742e-03
225	226	x	1.712489669e-03
225	253	y	8.437333742e-03
226	227	x	1.712489669e-03
226	254	y	8.437333742e-03
227	228	x	1.712489669e-03
227	255	y	8.437333742e-03
228	229	x	1.712489669e-03
228	256	y	8.437333742e-03
229	230	x	1.712489669e-03
229	257	y	8.437333742e-03
230	231	x	1.712489669e-03
230	258	y	8.437333742e-03
231	232	x	1.712489669e-03
231	259	y	8.437333742e-03
232	233	x	1.712489669e-03
232	260	y	8.437333742e-03
233	234	x	1.712489669e-03
233	261	y	8.437333742e-03
234	235	x	1.712489669e-03
234	262	y	8.437333742e-03
235	236	x	1.712489669e-03
235	263	y	8.437333742e-03
236	237	x	1.712489669e-03
236	264	y	8.437333742e-03
237	238	x	1.712489669e-03
237	265	y	8.437333742e-03
238	239	x	1.712489669e-03
238	266	y	8.437333742e-03
239	240	x	1.712489669e-03
239	267	y	8.437333742e-03
240	241	x	1.712489669e-03
240	268	y	8.437333742e-03
241	242	x	1.712489669e-03
241	269	y	8.437333742e-03
242	243	x	1.712489669e-03
242	270	y	8.437333742e-03
243	244	x	1.712489669e-03
243	271	y	8.437333742e-03
244	245	x	1.712489669e-03
244	272	y	8.437333742e-03
245	246	x	1.712489669e-03
245	273	y	8.437333742e-03
246	247	x	1.712489669e-03
246	274	y	8.437333742e-03
247	248	x	1.712489669e-03
247	275	y	8.437333742e-03
248	249	x	1.712489669e-03
248	276	y	8.437333742e-03
249	250	x	1.712489669e-03
249	277	y	8.437333742e-03
250	251	x	1.712489669e-03
250	278	y	8.437333742e-03
251	279	y	8.437333742e-03
252	253	x	1.712489669e-03
252	280	y	8.437333742e-03
253	254	x	1.712489669e-03
253	281	y	8.437333742e-03
254	255	x	1.712489669e-03
254	282	y	8.437333742e-03
255	256	x	1.712489669e-03
255	283	y	8.437333742e-03
256	257	x	1.712489669e-03
256	284	y	8.437333742e-03
257	258	x	1.712489669e-03
257	285	y	8.437333742e-03
258	259	x	1.712489669e-03
258	286	y	8.437333742e-03
259	260	x	1.712489669e-03
259	287	y	8.437333742e-03
260	261	x	1.712489669e-03
260	288	y	8.437333742e-03
261	262	x	1.712489669e-03
261	289	y	8.437333742e-03
262	263	x	1.712489669e-03
262	290	y	8.437333742e-03
263	264	x	1.712489669e-03
263	291	y	8.437333742e-03
264	265	x	1.712489669e-03
264	292	y	8.437333742e-03
265	266	x	1.712489669e-03
265	293	y	8.437333742e-03
266	267	x	1.712489669e-03
266	294	y	8.437333742e-03
