x_idx	y_idx	drop_pct	voltage_v
17	13	0.121861773	0.998781382
18	13	0.125527111	0.998744729
19	13	0.128417999	0.998715820
20	13	0.130512042	0.998694880
21	13	0.131772328	0.998682277
22	13	0.132413246	0.998675868
23	13	0.132983220	0.998670168
24	13	0.133448790	0.998665512
25	13	0.133796434	0.998662036
26	13	0.134024794	0.998659752
27	13	0.134117457	0.998658825
0	12	0.157441867	0.998425581
1	12	0.157371861	0.998426281
2	12	0.156582916	0.998434171
3	12	0.155092616	0.998449074
4	12	0.152898111	0.998471019
5	12	0.149995031	0.998500050
6	12	0.146377364	0.998536226
7	12	0.142037257	0.998579627
8	12	0.136964641	0.998630354
9	12	0.130763797	0.998692362
10	12	0.123688331	0.998763117
11	12	0.115718525	0.998842815
12	12	0.106830656	0.998931693
13	12	0.096880521	0.999031195
14	12	0.103159830	0.998968402
15	12	0.108772757	0.998912272
16	12	0.113740318	0.998862597
17	12	0.118036548	0.998819635
18	12	0.121643859	0.998783561
19	12	0.124549601	0.998754504
20	12	0.126744712	0.998732553
21	12	0.128224759	0.998717752
22	12	0.129191910	0.998708081
23	12	0.129939537	0.998700605
24	12	0.130502757	0.998694972
25	12	0.130900720	0.998690993
26	12	0.131147903	0.998688521
27	12	0.131251886	0.998687481
0	11	0.152289201	0.998477108
1	11	0.152239114	0.998477609
2	11	0.151492572	0.998485074
3	11	0.150069350	0.998499306
4	11	0.147968578	0.998520314
5	11	0.145187352	0.998548126
6	11	0.141721067	0.998582789
7	11	0.137563254	0.998624367
8	11	0.132705339	0.998672947
9	11	0.126751900	0.998732481
10	11	0.119951600	0.998800484
11	11	0.112275801	0.998877242
12	11	0.103687833	0.998963122
13	11	0.094039476	0.999059605
14	11	0.100172850	0.998998272
15	11	0.105665149	0.998943349
16	11	0.110547216	0.998894528
17	11	0.114799812	0.998852002
18	11	0.118411577	0.998815884
19	11	0.121376442	0.998786236
20	11	0.123695013	0.998763050
21	11	0.125377240	0.998746228
22	11	0.126474630	0.998735254
23	11	0.127226912	0.998727731
24	11	0.127793465	0.998722065
25	11	0.128169985	0.998718300
26	11	0.128439736	0.998715603
27	11	0.128558409	0.998714416
0	10	0.145982116	0.998540179
1	10	0.145942192	0.998540578
2	10	0.145234769	0.998547652
3	10	0.143883027	0.998561170
4	10	0.141889997	0.998581100
5	10	0.139253584	0.998607464
6	10	0.135970213	0.998640298
7	10	0.132037158	0.998679628
8	10	0.127455462	0.998725445
9	10	0.121852785	0.998781472
10	10	0.115468923	0.998845311
11	10	0.108267725	0.998917323
12	10	0.100197208	0.998998028
13	10	0.091091043	0.999089090
14	10	0.097250430	0.999027496
15	10	0.102758354	0.998972416
16	10	0.107649852	0.998923501
17	10	0.111914575	0.998880854
18	10	0.115560566	0.998844394
19	10	0.118581887	0.998814181
20	10	0.120974872	0.998790251
21	10	0.122735086	0.998772649
22	10	0.123878372	0.998761216
23	10	0.124650508	0.998753495
24	10	0.125241324	0.998747587
25	10	0.125647985	0.998743520
26	10	0.125967838	0.998740322
27	10	0.126109692	0.998738903
0	9	0.138470329	0.998615297
1	9	0.138338536	0.998616615
2	9	0.137649994	0.998623500
3	9	0.136354816	0.998636452
4	9	0.134479781	0.998655202
5	9	0.132005833	0.998679942
6	9	0.128918921	0.998710811
7	9	0.125205243	0.998747948
8	9	0.120847513	0.998791525
9	9	0.115743134	0.998842569
10	9	0.109953679	0.998900463
11	9	0.103483378	0.998965166
12	9	0.096236670	0.999037633
13	9	0.088090868	0.999119091
14	9	0.094443529	0.999055565
15	9	0.100083178	0.998999168
16	9	0.105034974	0.998949650
17	9	0.109271982	0.998907280
18	9	0.112981661	0.998870183
19	9	0.116077258	0.998839227
20	9	0.118566661	0.998814333
21	9	0.120425741	0.998795743
22	9	0.121662667	0.998783373
23	9	0.122505863	0.998774941
24	9	0.123134919	0.998768651
25	9	0.123553439	0.998764466
26	9	0.123877543	0.998761225
27	9	0.124019806	0.998759802
0	8	0.130434026	0.998695660
1	8	0.130180147	0.998698199
2	8	0.129584041	0.998704160
3	8	0.128505432	0.998714946
4	8	0.126842068	0.998731579
5	8	0.124600124	0.998753999
6	8	0.121777635	0.998782224
7	8	0.118368338	0.998816317
8	8	0.114363145	0.998856369
9	8	0.109750989	0.998902490
10	8	0.104535536	0.998954645
