id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
4523	1	metal5	910	382	0	0	0	0.999949
4524	1	metal5	920	382	0	0	0	0.999948
4525	1	metal5	930	382	0	0	0	0.999948
4526	1	metal5	940	382	0	0	0	0.999948
4527	1	metal5	950	382	0	0	0	0.999948
4528	1	metal5	960	382	0	0	0	0.999947
4529	1	metal5	970	382	0	0	0	0.999947
4530	1	metal5	980	382	0	0	0	0.999947
4531	1	metal5	990	382	0	0	0	0.999947
4532	1	metal5	1000	382	0	0	0	0.999947
4533	1	metal5	1010	382	0	0	0	0.999947
4534	1	metal5	1020	382	0	0	0	0.999947
4535	1	metal5	1030	382	0	0	0	0.999947
4536	1	metal5	1040	382	0	0	0	0.999947
4537	1	metal5	1050	382	0	0	0	0.999947
4538	1	metal5	1060	382	0	0	0	0.999946
4539	1	metal5	1070	382	0	0	0	0.999946
4540	1	metal5	1080	382	0	0	0	0.999946
4541	1	metal5	1090	382	0	0	0	0.999946
4542	1	metal5	10	392	0	0	0	0.999944
4543	1	metal5	20	392	0	0	0	0.999944
4544	1	metal5	30	392	0	0	0	0.999944
4545	1	metal5	40	392	0	0	0	0.999944
4546	1	metal5	50	392	0	0	0	0.999944
4547	1	metal5	60	392	0	0	0	0.999944
4548	1	metal5	70	392	0	0	0	0.999945
4549	1	metal5	80	392	0	0	0	0.999945
4550	1	metal5	90	392	0	0	0	0.999945
4551	1	metal5	100	392	0	0	0	0.999945
4552	1	metal5	110	392	0	0	0	0.999945
4553	1	metal5	120	392	0	0	0	0.999945
4554	1	metal5	130	392	0	0	0	0.999946
4555	1	metal5	140	392	0	0	0	0.999946
4556	1	metal5	150	392	0	0	0	0.999946
4557	1	metal5	160	392	0	0	0	0.999947
4558	1	metal5	170	392	0	0	0	0.999947
4559	1	metal5	180	392	0	0	0	0.999947
4560	1	metal5	190	392	0	0	0	0.999948
4561	1	metal5	200	392	0	0	0	0.999948
4562	1	metal5	210	392	0	0	0	0.999948
4563	1	metal5	220	392	0	0	0	0.999949
4564	1	metal5	230	392	0	0	0	0.999949
4565	1	metal5	240	392	0	0	0	0.99995
4566	1	metal5	250	392	0	0	0	0.99995
4567	1	metal5	260	392	0	0	0	0.999951
4568	1	metal5	270	392	0	0	0	0.999951
4569	1	metal5	280	392	0	0	0	0.999952
4570	1	metal5	290	392	0	0	0	0.999952
4571	1	metal5	300	392	0	0	0	0.999953
4572	1	metal5	310	392	0	0	0	0.999954
4573	1	metal5	320	392	0	0	0	0.999955
4574	1	metal5	330	392	0	0	0	0.999955
4575	1	metal5	340	392	0	0	0	0.999956
4576	1	metal5	350	392	0	0	0	0.999957
4577	1	metal5	360	392	0	0	0	0.999958
4578	1	metal5	370	392	0	0	0	0.999959
4579	1	metal5	380	392	0	0	0	0.99996
4580	1	metal5	390	392	0	0	0	0.999961
4581	1	metal5	400	392	0	0	0	0.999962
4582	1	metal5	410	392	0	0	0	0.999963
4583	1	metal5	420	392	0	0	0	0.999965
4584	1	metal5	430	392	0	0	0	0.999966
4585	1	metal5	440	392	0	0	0	0.999967
4586	1	metal5	450	392	0	0	0	0.999968
4587	1	metal5	460	392	0	0	0	0.99997
4588	1	metal5	470	392	0	0	0	0.999971
4589	1	metal5	480	392	0	0	0	0.999973
4590	1	metal5	490	392	0	0	0	0.999975
4591	1	metal5	500	392	0	0	0	0.999976
4592	1	metal5	510	392	0	0	0	0.999977
4593	1	metal5	520	392	0	0	0	0.99998
4594	1	metal5	530	392	0	0	0	0.999982
4595	1	metal5	540	392	0	0	0	0.999983
4596	1	metal5	550	392	0	0	0	0.999985
4597	1	metal5	560	392	0	0	0	0.999982
4598	1	metal5	570	392	0	0	0	0.99998
4599	1	metal5	580	392	0	0	0	0.99998
4600	1	metal5	590	392	0	0	0	0.999978
4601	1	metal5	600	392	0	0	0	0.999977
4602	1	metal5	610	392	0	0	0	0.999975
4603	1	metal5	620	392	0	0	0	0.999972
4604	1	metal5	630	392	0	0	0	0.99997
4605	1	metal5	640	392	0	0	0	0.999969
4606	1	metal5	650	392	0	0	0	0.999967
4607	1	metal5	660	392	0	0	0	0.999966
4608	1	metal5	670	392	0	0	0	0.999964
4609	1	metal5	680	392	0	0	0	0.999963
4610	1	metal5	690	392	0	0	0	0.999962
4611	1	metal5	700	392	0	0	0	0.999961
4612	1	metal5	710	392	0	0	0	0.99996
4613	1	metal5	720	392	0	0	0	0.999959
4614	1	metal5	730	392	0	0	0	0.999958
4615	1	metal5	740	392	0	0	0	0.999957
