node_a	layer_a	x_a_um	y_a_um	node_b	layer_b	x_b_um	y_b_um	g_siemens
203	metal1	936.07	36.4	9104	metal4	936.07	36.4	1e+12
204	metal1	992.07	36.4	9105	metal4	992.07	36.4	1e+12
205	metal1	1048.07	36.4	9106	metal4	1048.07	36.4	1e+12
206	metal1	1086.21	36.4	9107	metal4	1086.21	36.4	1e+12
207	metal1	14.095	39.2	9108	metal4	14.095	39.2	1e+12
208	metal1	40.07	39.2	9109	metal4	40.07	39.2	1e+12
209	metal1	96.07	39.2	9110	metal4	96.07	39.2	1e+12
210	metal1	108.455	39.2	9111	metal4	108.455	39.2	1e+12
211	metal1	109.295	39.2	9112	metal4	109.295	39.2	1e+12
212	metal1	152.07	39.2	9113	metal4	152.07	39.2	1e+12
213	metal1	208.07	39.2	9114	metal4	208.07	39.2	1e+12
214	metal1	264.07	39.2	9115	metal4	264.07	39.2	1e+12
215	metal1	320.07	39.2	9116	metal4	320.07	39.2	1e+12
216	metal1	376.07	39.2	9117	metal4	376.07	39.2	1e+12
217	metal1	432.07	39.2	9118	metal4	432.07	39.2	1e+12
218	metal1	488.07	39.2	9119	metal4	488.07	39.2	1e+12
219	metal1	544.07	39.2	9120	metal4	544.07	39.2	1e+12
220	metal1	600.07	39.2	9121	metal4	600.07	39.2	1e+12
221	metal1	656.07	39.2	9122	metal4	656.07	39.2	1e+12
222	metal1	712.07	39.2	9123	metal4	712.07	39.2	1e+12
223	metal1	768.07	39.2	9124	metal4	768.07	39.2	1e+12
224	metal1	824.07	39.2	9125	metal4	824.07	39.2	1e+12
225	metal1	880.07	39.2	9126	metal4	880.07	39.2	1e+12
226	metal1	936.07	39.2	9127	metal4	936.07	39.2	1e+12
227	metal1	992.07	39.2	9128	metal4	992.07	39.2	1e+12
228	metal1	1048.07	39.2	9129	metal4	1048.07	39.2	1e+12
229	metal1	1086.21	39.2	9130	metal4	1086.21	39.2	1e+12
230	metal1	14.095	42	9131	metal4	14.095	42	1e+12
231	metal1	40.07	42	9132	metal4	40.07	42	1e+12
232	metal1	96.07	42	9133	metal4	96.07	42	1e+12
233	metal1	108.455	42	9134	metal4	108.455	42	1e+12
234	metal1	109.295	42	9135	metal4	109.295	42	1e+12
235	metal1	152.07	42	9136	metal4	152.07	42	1e+12
236	metal1	208.07	42	9137	metal4	208.07	42	1e+12
237	metal1	264.07	42	9138	metal4	264.07	42	1e+12
238	metal1	320.07	42	9139	metal4	320.07	42	1e+12
239	metal1	376.07	42	9140	metal4	376.07	42	1e+12
240	metal1	432.07	42	9141	metal4	432.07	42	1e+12
241	metal1	488.07	42	9142	metal4	488.07	42	1e+12
242	metal1	544.07	42	9143	metal4	544.07	42	1e+12
243	metal1	600.07	42	9144	metal4	600.07	42	1e+12
244	metal1	656.07	42	9145	metal4	656.07	42	1e+12
245	metal1	712.07	42	9146	metal4	712.07	42	1e+12
246	metal1	768.07	42	9147	metal4	768.07	42	1e+12
247	metal1	824.07	42	9148	metal4	824.07	42	1e+12
248	metal1	880.07	42	9149	metal4	880.07	42	1e+12
249	metal1	936.07	42	9150	metal4	936.07	42	1e+12
