id	layer_idx	layer_name	x_um	y_um	v_v	fixed	i_load_a
5028	3	metal4	1059.98	976.485	1.09926	0	0
5029	0	metal5	1059.98	976.485	1.09926	0	0
5030	3	metal4	1059.98	966.485	1.09926	0	0
5031	0	metal5	1059.98	966.485	1.09926	0	0
5032	3	metal4	1059.98	956.485	1.09926	0	0
5033	0	metal5	1059.98	956.485	1.09926	0	0
5034	3	metal4	1059.98	946.485	1.09926	0	0
5035	0	metal5	1059.98	946.485	1.09926	0	0
5036	3	metal4	1059.98	936.485	1.09926	0	0
5037	0	metal5	1059.98	936.485	1.09926	0	0
5038	3	metal4	1059.98	926.485	1.09925	0	0
5039	0	metal5	1059.98	926.485	1.09925	0	0
5040	3	metal4	1055.5	976.485	1.09926	0	0
5041	0	metal5	1055.5	976.485	1.09926	0	0
5042	3	metal4	1055.5	966.485	1.09926	0	0
5043	0	metal5	1055.5	966.485	1.09926	0	0
5044	3	metal4	1055.5	956.485	1.09925	0	0
5045	0	metal5	1055.5	956.485	1.09925	0	0
5046	3	metal4	1055.5	946.485	1.09926	0	0
5047	0	metal5	1055.5	946.485	1.09926	0	0
5048	3	metal4	1055.5	936.485	1.09926	0	0
5049	0	metal5	1055.5	936.485	1.09926	0	0
5050	3	metal4	1055.5	926.485	1.09925	0	0
5051	0	metal5	1055.5	926.485	1.09925	0	0
5052	3	metal4	1051.02	976.485	1.09926	0	0
5053	0	metal5	1051.02	976.485	1.09926	0	0
5054	3	metal4	1051.02	966.485	1.09926	0	0
5055	0	metal5	1051.02	966.485	1.09926	0	0
5056	3	metal4	1051.02	956.485	1.09925	0	0
5057	0	metal5	1051.02	956.485	1.09925	0	0
5058	3	metal4	1051.02	946.485	1.09926	0	0
5059	0	metal5	1051.02	946.485	1.09926	0	0
5060	3	metal4	1051.02	936.485	1.09926	0	0
5061	0	metal5	1051.02	936.485	1.09926	0	0
5062	3	metal4	1051.02	926.485	1.09925	0	0
5063	0	metal5	1051.02	926.485	1.09925	0	0
5064	3	metal4	1046.54	976.485	1.09926	0	0
5065	0	metal5	1046.54	976.485	1.09926	0	0
5066	3	metal4	1046.54	966.485	1.09926	0	0
5067	0	metal5	1046.54	966.485	1.09926	0	0
5068	3	metal4	1046.54	956.485	1.09925	0	0
5069	0	metal5	1046.54	956.485	1.09925	0	0
5070	3	metal4	1046.54	946.485	1.09926	0	0
5071	0	metal5	1046.54	946.485	1.09926	0	0
5072	3	metal4	1046.54	936.485	1.09926	0	0
5073	0	metal5	1046.54	936.485	1.09926	0	0
5074	3	metal4	1046.54	926.485	1.09925	0	0
5075	0	metal5	1046.54	926.485	1.09925	0	0
5076	3	metal4	1042.06	976.485	1.09926	0	0
5077	0	metal5	1042.06	976.485	1.09926	0	0
5078	3	metal4	1042.06	966.485	1.09926	0	0
5079	0	metal5	1042.06	966.485	1.09926	0	0
5080	3	metal4	1042.06	956.485	1.09924	0	0
5081	0	metal5	1042.06	956.485	1.09924	0	0.00141818
5082	3	metal4	1042.06	946.485	1.09926	0	0
5083	0	metal5	1042.06	946.485	1.09926	0	0
5084	3	metal4	1042.06	936.485	1.09926	0	0
5085	0	metal5	1042.06	936.485	1.09926	0	0
5086	3	metal4	1042.06	926.485	1.09925	0	0
5087	0	metal5	1042.06	926.485	1.09925	0	0
5088	3	metal4	1037.58	976.485	1.09926	0	0
5089	0	metal5	1037.58	976.485	1.09926	0	0
5090	3	metal4	1037.58	966.485	1.09926	0	0
5091	0	metal5	1037.58	966.485	1.09926	0	0
5092	3	metal4	1037.58	956.485	1.09925	0	0
5093	0	metal5	1037.58	956.485	1.09925	0	0
5094	3	metal4	1037.58	946.485	1.09926	0	0
5095	0	metal5	1037.58	946.485	1.09926	0	0
5096	3	metal4	1037.58	936.485	1.09926	0	0
5097	0	metal5	1037.58	936.485	1.09926	0	0
5098	3	metal4	1037.58	926.485	1.09925	0	0
5099	0	metal5	1037.58	926.485	1.09925	0	0
5100	3	metal4	1033.1	976.485	1.09926	0	0
5101	0	metal5	1033.1	976.485	1.09926	0	0
5102	3	metal4	1033.1	966.485	1.09926	0	0
5103	0	metal5	1033.1	966.485	1.09926	0	0
5104	3	metal4	1033.1	956.485	1.09925	0	0
5105	0	metal5	1033.1	956.485	1.09925	0	0
5106	3	metal4	1033.1	946.485	1.09926	0	0
5107	0	metal5	1033.1	946.485	1.09926	0	0
5108	3	metal4	1033.1	936.485	1.09926	0	0
5109	0	metal5	1033.1	936.485	1.09926	0	0
5110	3	metal4	1033.1	926.485	1.09925	0	0
5111	0	metal5	1033.1	926.485	1.09925	0	0
5112	3	metal4	1028.62	976.485	1.09926	0	0
5113	0	metal5	1028.62	976.485	1.09926	0	0
5114	3	metal4	1028.62	966.485	1.09926	0	0
5115	0	metal5	1028.62	966.485	1.09926	0	0
5116	3	metal4	1028.62	956.485	1.09926	0	0
5117	0	metal5	1028.62	956.485	1.09926	0	0
5118	3	metal4	1028.62	946.485	1.09926	0	0
5119	0	metal5	1028.62	946.485	1.09926	0	0
5120	3	metal4	1028.62	936.485	1.09926	0	0
5121	0	metal5	1028.62	936.485	1.09926	0	0
5122	3	metal4	1028.62	926.485	1.09925	0	0
5123	0	metal5	1028.62	926.485	1.09925	0	0
5124	3	metal4	1024.14	976.485	1.09926	0	0
5125	0	metal5	1024.14	976.485	1.09926	0	0
5126	3	metal4	1024.14	966.485	1.09926	0	0
5127	0	metal5	1024.14	966.485	1.09926	0	0
5128	3	metal4	1024.14	956.485	1.09926	0	0
5129	0	metal5	1024.14	956.485	1.09926	0	0
5130	3	metal4	1024.14	946.485	1.09926	0	0
5131	0	metal5	1024.14	946.485	1.09926	0	0
5132	3	metal4	1024.14	936.485	1.09926	0	0
5133	0	metal5	1024.14	936.485	1.09926	0	0
5134	3	metal4	1024.14	926.485	1.09924	0	0
5135	0	metal5	1024.14	926.485	1.09924	0	0
5136	3	metal4	1019.66	976.485	1.09926	0	0
5137	0	metal5	1019.66	976.485	1.09926	0	0
5138	3	metal4	1019.66	966.485	1.09926	0	0
5139	0	metal5	1019.66	966.485	1.09926	0	0
5140	3	metal4	1019.66	956.485	1.09926	0	0
5141	0	metal5	1019.66	956.485	1.09926	0	0
5142	3	metal4	1019.66	946.485	1.09926	0	0
5143	0	metal5	1019.66	946.485	1.09926	0	0
5144	3	metal4	1019.66	936.485	1.09926	0	0
5145	0	metal5	1019.66	936.485	1.09926	0	0
