# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
270.19	1034.025	270.05	1033.56	270.33	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
270.19	1024.025	270.05	1023.56	270.33	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1074.025	265.57	1073.56	265.85	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1064.025	265.57	1063.56	265.85	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1054.025	265.57	1053.56	265.85	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1044.025	265.57	1043.56	265.85	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1034.025	265.57	1033.56	265.85	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
265.71	1024.025	265.57	1023.56	265.85	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1074.025	261.09	1073.56	261.37	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1064.025	261.09	1063.56	261.37	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1054.025	261.09	1053.56	261.37	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1044.025	261.09	1043.56	261.37	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1034.025	261.09	1033.56	261.37	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
261.23	1024.025	261.09	1023.56	261.37	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1074.025	256.61	1073.56	256.89	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1064.025	256.61	1063.56	256.89	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1054.025	256.61	1053.56	256.89	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1044.025	256.61	1043.56	256.89	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1034.025	256.61	1033.56	256.89	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
256.75	1024.025	256.61	1023.56	256.89	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1074.025	252.13	1073.56	252.41	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1064.025	252.13	1063.56	252.41	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1054.025	252.13	1053.56	252.41	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1044.025	252.13	1043.56	252.41	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1034.025	252.13	1033.56	252.41	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
252.27	1024.025	252.13	1023.56	252.41	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1074.025	247.65	1073.56	247.93	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1064.025	247.65	1063.56	247.93	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1054.025	247.65	1053.56	247.93	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1044.025	247.65	1043.56	247.93	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1034.025	247.65	1033.56	247.93	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
247.79	1024.025	247.65	1023.56	247.93	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1074.025	243.17	1073.56	243.45	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1064.025	243.17	1063.56	243.45	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1054.025	243.17	1053.56	243.45	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1044.025	243.17	1043.56	243.45	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1034.025	243.17	1033.56	243.45	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
243.31	1024.025	243.17	1023.56	243.45	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1074.025	238.69	1073.56	238.97	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1064.025	238.69	1063.56	238.97	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1054.025	238.69	1053.56	238.97	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1044.025	238.69	1043.56	238.97	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1034.025	238.69	1033.56	238.97	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
238.83	1024.025	238.69	1023.56	238.97	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1074.025	234.21	1073.56	234.49	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1064.025	234.21	1063.56	234.49	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1054.025	234.21	1053.56	234.49	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1044.025	234.21	1043.56	234.49	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1034.025	234.21	1033.56	234.49	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
234.35	1024.025	234.21	1023.56	234.49	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1074.025	229.73	1073.56	230.01	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1064.025	229.73	1063.56	230.01	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1054.025	229.73	1053.56	230.01	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1044.025	229.73	1043.56	230.01	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1034.025	229.73	1033.56	230.01	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
229.87	1024.025	229.73	1023.56	230.01	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
225.39	1074.025	225.25	1073.56	225.53	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
225.39	1064.025	225.25	1063.56	225.53	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
