net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	via	?	243.17	1073.56	243.45	1074.49	243.31	1074.025
VDD	POWER	via	?	243.17	1063.56	243.45	1064.49	243.31	1064.025
VDD	POWER	via	?	243.17	1053.56	243.45	1054.49	243.31	1054.025
VDD	POWER	via	?	243.17	1043.56	243.45	1044.49	243.31	1044.025
VDD	POWER	via	?	243.17	1033.56	243.45	1034.49	243.31	1034.025
VDD	POWER	via	?	243.17	1023.56	243.45	1024.49	243.31	1024.025
VDD	POWER	via	?	238.69	1073.56	238.97	1074.49	238.83	1074.025
VDD	POWER	via	?	238.69	1063.56	238.97	1064.49	238.83	1064.025
VDD	POWER	via	?	238.69	1053.56	238.97	1054.49	238.83	1054.025
VDD	POWER	via	?	238.69	1043.56	238.97	1044.49	238.83	1044.025
VDD	POWER	via	?	238.69	1033.56	238.97	1034.49	238.83	1034.025
VDD	POWER	via	?	238.69	1023.56	238.97	1024.49	238.83	1024.025
VDD	POWER	via	?	234.21	1073.56	234.49	1074.49	234.35	1074.025
VDD	POWER	via	?	234.21	1063.56	234.49	1064.49	234.35	1064.025
VDD	POWER	via	?	234.21	1053.56	234.49	1054.49	234.35	1054.025
VDD	POWER	via	?	234.21	1043.56	234.49	1044.49	234.35	1044.025
VDD	POWER	via	?	234.21	1033.56	234.49	1034.49	234.35	1034.025
VDD	POWER	via	?	234.21	1023.56	234.49	1024.49	234.35	1024.025
VDD	POWER	via	?	229.73	1073.56	230.01	1074.49	229.87	1074.025
VDD	POWER	via	?	229.73	1063.56	230.01	1064.49	229.87	1064.025
VDD	POWER	via	?	229.73	1053.56	230.01	1054.49	229.87	1054.025
VDD	POWER	via	?	229.73	1043.56	230.01	1044.49	229.87	1044.025
VDD	POWER	via	?	229.73	1033.56	230.01	1034.49	229.87	1034.025
VDD	POWER	via	?	229.73	1023.56	230.01	1024.49	229.87	1024.025
VDD	POWER	via	?	225.25	1073.56	225.53	1074.49	225.39	1074.025
VDD	POWER	via	?	225.25	1063.56	225.53	1064.49	225.39	1064.025
VDD	POWER	via	?	225.25	1053.56	225.53	1054.49	225.39	1054.025
VDD	POWER	via	?	225.25	1043.56	225.53	1044.49	225.39	1044.025
VDD	POWER	via	?	225.25	1033.56	225.53	1034.49	225.39	1034.025
VDD	POWER	via	?	225.25	1023.56	225.53	1024.49	225.39	1024.025
VDD	POWER	via	?	220.77	1073.56	221.05	1074.49	220.91	1074.025
VDD	POWER	via	?	220.77	1063.56	221.05	1064.49	220.91	1064.025
VDD	POWER	via	?	220.77	1053.56	221.05	1054.49	220.91	1054.025
VDD	POWER	via	?	220.77	1043.56	221.05	1044.49	220.91	1044.025
VDD	POWER	via	?	220.77	1033.56	221.05	1034.49	220.91	1034.025
VDD	POWER	via	?	220.77	1023.56	221.05	1024.49	220.91	1024.025
VDD	POWER	wire	metal6	96.605	1018.9	97.535	1080.3	97.07	1049.6
VDD	POWER	wire	metal6	86.605	1018.9	87.535	1080.3	87.07	1049.6
VDD	POWER	wire	metal6	76.605	1018.9	77.535	1080.3	77.07	1049.6
VDD	POWER	wire	metal6	66.605	1018.9	67.535	1080.3	67.07	1049.6
VDD	POWER	wire	metal6	56.605	1018.9	57.535	1080.3	57.07	1049.6
VDD	POWER	wire	metal6	46.605	1018.9	47.535	1080.3	47.07	1049.6
VDD	POWER	wire	metal6	36.605	1018.9	37.535	1080.3	37.07	1049.6
VDD	POWER	wire	metal6	26.605	1018.9	27.535	1080.3	27.07	1049.6
VDD	POWER	wire	metal5	25.59	1073.56	97.535	1074.49	61.5625	1074.025
VDD	POWER	wire	metal5	25.59	1063.56	97.535	1064.49	61.5625	1064.025
VDD	POWER	wire	metal5	25.59	1053.56	97.535	1054.49	61.5625	1054.025
VDD	POWER	wire	metal5	25.59	1043.56	97.535	1044.49	61.5625	1044.025
VDD	POWER	wire	metal5	25.59	1033.56	97.535	1034.49	61.5625	1034.025
VDD	POWER	wire	metal5	25.59	1023.56	97.535	1024.49	61.5625	1024.025
VDD	POWER	via	?	96.605	1078.9	97.535	1080.3	97.07	1079.6
VDD	POWER	via	?	96.605	1048.9	97.535	1050.3	97.07	1049.6
VDD	POWER	via	?	96.605	1018.9	97.535	1020.3	97.07	1019.6
VDD	POWER	via	?	86.605	1078.9	87.535	1080.3	87.07	1079.6
VDD	POWER	via	?	86.605	1048.9	87.535	1050.3	87.07	1049.6
VDD	POWER	via	?	86.605	1018.9	87.535	1020.3	87.07	1019.6
VDD	POWER	via	?	76.605	1078.9	77.535	1080.3	77.07	1079.6
VDD	POWER	via	?	76.605	1048.9	77.535	1050.3	77.07	1049.6
VDD	POWER	via	?	76.605	1018.9	77.535	1020.3	77.07	1019.6
VDD	POWER	via	?	66.605	1078.9	67.535	1080.3	67.07	1079.6
VDD	POWER	via	?	66.605	1048.9	67.535	1050.3	67.07	1049.6
VDD	POWER	via	?	66.605	1018.9	67.535	1020.3	67.07	1019.6
